GeneID,AssociatedGenes,RelatedGenes,ConceptID,DiseaseName,SourceName,SourceID,DiseaseMIM,LastUpdated
6833,ABCC8,,C2931832,"Hyperinsulinemic hypoglycemia, familial, 1",MONDO,MONDO:0009734,256450,Dec 24 2019
6833,ABCC8,,C1833104,Permanent neonatal diabetes mellitus,MONDO,MONDO:0100164,,May 27 2020
6833,ABCC8,,C1833104,Permanent neonatal diabetes mellitus,MONDO,MONDO:0011643,,May 27 2020
6833,ABCC8,,C0011860,Type 2 diabetes mellitus,MONDO,MONDO:0005148,125853,Oct 10 2023
6833,ABCC8,,C0011860,Type 2 diabetes mellitus,Human Phenotype Ontology,HP:0005978,125853,Oct 10 2023
6833,ABCC8,,C0271714,Leucine-induced hypoglycemia,,,240800,Feb 16 2016
6833,ABCC8,,C5394303,"Diabetes mellitus, permanent neonatal 3",MONDO,MONDO:0030088,618857,Apr 19 2022
10060,ABCC9,,C1837839,Dilated cardiomyopathy 1O,MONDO,MONDO:0012062,608569,Feb 16 2016
10060,ABCC9,,C5676904,Intellectual disability and myopathy syndrome,MONDO,MONDO:0859224,619719,Feb  9 2022
10060,ABCC9,,C0795905,Hypertrichotic osteochondrodysplasia Cantu type,MONDO,MONDO:0009406,239850,Apr 17 2020
10060,ABCC9,,C3279695,"Atrial fibrillation, familial, 12",MONDO,MONDO:0013545,614050,Feb 16 2016
10060,ABCC9,,C0007193,Primary dilated cardiomyopathy,,,,Feb 16 2016
215,ABCD1,,C0162309,Adrenoleukodystrophy,MONDO,MONDO:0018544,300100,Feb 16 2016
5825,ABCD3,,C4225390,Congenital bile acid synthesis defect 5,MONDO,MONDO:0014564,616278,Apr 19 2022
5826,ABCD4,,C3553915,"Methylmalonic acidemia with homocystinuria, type cblJ",MONDO,MONDO:0013925,614857,Apr 17 2020
5826,ABCD4,,CN043592,Disorders of Intracellular Cobalamin Metabolism,,,,Feb 16 2016
9429,ABCG2,,C3280986,"Blood group, Junior system",,,614490,Feb 16 2016
9429,ABCG2,,C1841837,"Uric acid concentration, serum, quantitative trait locus 1",,,138900,Feb 16 2016
64240,ABCG5,,C5231453,Sitosterolemia 2,MONDO,MONDO:0020748,618666,Jan 22 2021
64241,ABCG8,,C1969115,Gallbladder disease 4,NCBI curation,,611465,Oct  4 2022
64241,ABCG8,,C2749759,Sitosterolemia 1,MONDO,MONDO:0020747,210250,Jan 22 2020
26090,ABHD12,,C2675204,PHARC syndrome,MONDO,MONDO:0012984,612674,Apr 19 2022
7920,ABHD16A,,C5676910,"Spastic paraplegia 86, autosomal recessive",MONDO,MONDO:0030673,619735,Mar 11 2022
51099,ABHD5,,C0268238,Triglyceride storage disease with ichthyosis,NCBI curation,,275630,Feb 16 2016
25,ABL1,,C0023473,"Chronic myelogenous leukemia, BCR-ABL1 positive",MONDO,MONDO:0011996,608232,Apr 17 2020
25,ABL1,,C4539857,Congenital heart defects and skeletal malformations syndrome,MONDO,MONDO:0060532,617602,Jan 22 2021
28,ABO,,C0000778,ABO blood group system,,,616093,Feb 16 2016
31,ACACA,,C0268603,Acetyl-CoA: carboxylase deficiency,,,613933,Feb 16 2016
27034,ACAD8,,C1969809,Deficiency of isobutyryl-CoA dehydrogenase,,,611283,Feb 16 2016
28976,ACAD9,,C4747517,Acyl-CoA dehydrogenase 9 deficiency,MONDO,MONDO:0012624,611126,Apr 19 2022
33,ACADL,,C0220711,Long chain acyl-CoA dehydrogenase deficiency,MONDO,MONDO:0020531,,Feb 16 2016
34,ACADM,,C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,,,201450,Feb 16 2016
35,ACADS,,C0342783,Deficiency of butyryl-CoA dehydrogenase,,,201470,Feb 16 2016
36,ACADSB,,C1864912,Deficiency of 2-methylbutyryl-CoA dehydrogenase,,,610006,Feb 16 2016
37,ACADVL,,C3887523,Very long chain acyl-CoA dehydrogenase deficiency,MONDO,MONDO:0008723,201475,Feb 16 2016
176,ACAN,,C3665488,"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans",MONDO,MONDO:0100462,165800,Jan 13 2022
176,ACAN,,C2748544,"Spondyloepimetaphyseal dysplasia, aggrecan type",MONDO,MONDO:0013014,612813,Jan 22 2021
176,ACAN,,C1842149,"Spondyloepiphyseal dysplasia, Kimberley type",MONDO,MONDO:0012019,608361,Apr 19 2022
38,ACAT1,,C1536500,Deficiency of acetyl-CoA acetyltransferase,,,203750,Feb 16 2016
39,ACAT2,,C0342735,Acetyl-CoA acetyltransferase-2 deficiency,MONDO,MONDO:0013548,614055,Feb 16 2016
91452,ACBD5,,C5394315,Retinal dystrophy with leukodystrophy,MONDO,MONDO:0030026,618863,Jan 22 2021
65057,ACD,,C4225284,"Dyskeratosis congenita, autosomal dominant 6",MONDO,MONDO:0014690,616553,Feb 16 2016
1636,ACE,,CN305377,Renal tubular dysgenesis of genetic origin,MONDO,MONDO:0009970,267430,Dec 29 2021
1636,ACE,,C3281105,Intracerebral hemorrhage,MONDO,MONDO:0013792,614519,Apr 19 2022
1636,ACE,,C2675470,"Microvascular complications of diabetes, susceptibility to, 3",MONDO,MONDO:0012963,612624,Apr 19 2022
1636,ACE,,C0007222,Disorder of cardiovascular system,,,,Feb 16 2016
55331,ACER3,,C4540358,Alkaline ceramidase 3 deficiency,MONDO,MONDO:0044718,617762,Apr 17 2020
43,ACHE,,C1862189,Antigen in Cartwright blood group system,,,112100,Feb 16 2016
2532,ACKR1,,C2676078,White blood cell count quantitative trait locus 1,,,611862,Feb 16 2016
2532,ACKR1,,C0013278,Duffy Blood group system,,,110700,Feb 16 2016
2532,ACKR1,,C1970028,"Malaria, susceptibility to",MONDO,MONDO:0021024,611162,Apr 19 2022
57007,ACKR3,,C5543116,Oculomotor-abducens synkinesis,MONDO,MONDO:0030976,619215,Jun  7 2021
50,ACO2,,C3281192,Infantile cerebellar-retinal degeneration,MONDO,MONDO:0013802,614559,Feb 16 2016
50,ACO2,,C4225384,Optic atrophy 9,MONDO,MONDO:0014571,616289,Feb 16 2016
51,ACOX1,,C1849678,Acyl-CoA oxidase deficiency,NCBI curation,,264470,May  2 2022
51,ACOX1,,C5394554,Mitchell syndrome,MONDO,MONDO:0030073,618960,Jan 22 2021
8309,ACOX2,,C4310624,Congenital bile acid synthesis defect 6,MONDO,MONDO:0015015,617308,Apr 19 2022
53,ACP2,,C0268410,Acid phosphatase deficiency,,,200950,Feb 16 2016
93650,ACP4,,C4310630,"Amelogenesis imperfecta, type 1J",MONDO,MONDO:0015008,617297,Apr 19 2022
54,ACP5,,C1842763,Spondyloenchondrodysplasia with immune dysregulation,MONDO,MONDO:0011939,607944,May 16 2016
49,ACR,,CN372738,Spermatogenic failure 87,NCBI curation,,620500,Sep 25 2023
197322,ACSF3,,C3280314,Combined malonic and methylmalonic acidemia,MONDO,MONDO:0013661,614265,Apr 19 2022
2182,ACSL4,,C1845672,"Intellectual disability, X-linked 63",MONDO,MONDO:0010313,300387,Mar 29 2022
51703,ACSL5,,CN327033,Diarrhea 13,MONDO,MONDO:0957253,620357,May 17 2023
58,ACTA1,,C4225181,Progressive scapulohumeroperoneal distal myopathy,MONDO,MONDO:0014800,616852,Apr 19 2022
58,ACTA1,,C3711389,Actin accumulation myopathy,NCBI curation,,161800,Mar 18 2022
58,ACTA1,,C0546264,Congenital myopathy with fiber type disproportion,,,,Feb 16 2016
58,ACTA1,,CN323652,"Congenital myopathy 2b, severe infantile, autosomal recessive",MONDO,MONDO:0859517,620265,May 10 2023
58,ACTA1,,CN323668,"Congenital myopathy 2c, severe infantile, autosomal dominant",MONDO,MONDO:0859523,620278,May 10 2023
59,ACTA2,,C3151201,Multisystemic smooth muscle dysfunction syndrome,MONDO,MONDO:0013452,613834,Feb 16 2016
59,ACTA2,,C4707243,Familial thoracic aortic aneurysm and aortic dissection,Orphanet,ORPHA91387,,Apr 27 2020
59,ACTA2,,C4707243,Familial thoracic aortic aneurysm and aortic dissection,MONDO,MONDO:0019625,,Apr 27 2020
59,ACTA2,,C3279690,Moyamoya disease 5,MONDO,MONDO:0013542,614042,Feb 16 2016
59,ACTA2,,C2673186,"Aortic aneurysm, familial thoracic 6",MONDO,MONDO:0012730,611788,Feb 16 2016
60,ACTB,,C1858042,Becker nevus syndrome,MONDO,MONDO:0011500,604919,Feb 16 2016
60,ACTB,,CN372714,"Thrombocytopenia 8, with dysmorphic features and developmental delay",NCBI curation,,620475,Aug 28 2023
60,ACTB,,C1855722,Baraitser-Winter syndrome 1,MONDO,MONDO:0009470,243310,Feb 16 2016
60,ACTB,,C1846331,Developmental malformations-deafness-dystonia syndrome,MONDO,MONDO:0011823,607371,Apr 17 2020
70,ACTC1,,C2677506,Hypertrophic cardiomyopathy 11,MONDO,MONDO:0012799,612098,Apr 19 2022
70,ACTC1,,C3150681,Dilated cardiomyopathy 1R,MONDO,MONDO:0013261,613424,Feb 16 2016
70,ACTC1,,C0007193,Primary dilated cardiomyopathy,,,,Feb 16 2016
70,ACTC1,,C2748552,Atrial septal defect 5,MONDO,MONDO:0013011,612794,Feb 16 2016
71,ACTG1,,C1858172,Autosomal dominant nonsyndromic hearing loss 20,MONDO,MONDO:0011480,604717,Apr 19 2022
71,ACTG1,,C3281235,Baraitser-winter syndrome 2,MONDO,MONDO:0013812,614583,Apr 19 2022
72,ACTG2,,C5543636,Megacystis-microcolon-intestinal hypoperistalsis syndrome 5,MONDO,MONDO:0030329,619431,Nov  3 2021
72,ACTG2,,C5542197,Visceral myopathy 1,MONDO,MONDO:0020754,155310,May 10 2023
51412,ACTL6B,,C5193113,"Developmental and epileptic encephalopathy, 76",MONDO,MONDO:0032768,618468,Jan 22 2021
51412,ACTL6B,,C5193115,Intellectual developmental disorder with severe speech and ambulation defects,MONDO,MONDO:0032770,618470,Jan 22 2021
10881,ACTL7A,,CN372737,Spermatogenic failure 86,NCBI curation,,620499,Sep 25 2023
284382,ACTL9,,C5543253,Spermatogenic failure 53,MONDO,MONDO:0030989,619258,Jun  7 2021
87,ACTN1,,C3554663,Platelet-type bleeding disorder 15,MONDO,MONDO:0014078,615193,Feb 16 2016
88,ACTN2,,C0949658,Primary familial hypertrophic cardiomyopathy,,,,Feb 16 2016
88,ACTN2,,C2677338,Dilated cardiomyopathy 1AA,MONDO,MONDO:0012808,612158,Feb 16 2016
88,ACTN2,,C5231445,"Myopathy, congenital, with structured cores and z-line abnormalities",MONDO,MONDO:0032852,618654,Jan 22 2021
88,ACTN2,,C0007193,Primary dilated cardiomyopathy,,,,Feb 16 2016
88,ACTN2,,C5203349,"Myopathy, distal, 6, adult-onset, autosomal dominant",MONDO,MONDO:0032853,618655,Jan 22 2021
89,ACTN3,,C3888204,Actn3 deficiency,MONDO,MONDO:0060593,617749,Feb 24 2022
81,ACTN4,,C4551527,Focal segmental glomerulosclerosis 1,MONDO,MONDO:0011303,603278,Feb 16 2016
90,ACVR1,,C0016037,Progressive myositis ossificans,,,135100,Feb 16 2016
91,ACVR1B,,C0235974,Carcinoma of pancreas,,,260350,Feb 16 2016
93,ACVR2B,,C3151057,"Heterotaxy, visceral, 4, autosomal",MONDO,MONDO:0013403,613751,Feb 16 2016
94,ACVRL1,,C1838163,"Telangiectasia, hereditary hemorrhagic, type 2",MONDO,MONDO:0010880,600376,Apr 22 2020
95,ACY1,,C1835922,Aminoacylase 1 deficiency,MONDO,MONDO:0012368,609924,Jan 15 2021
100,ADA,,C1863236,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",MONDO,MONDO:0007064,102700,Apr 19 2022
51816,ADA2,,C3887654,Vasculitis due to ADA2 deficiency,MONDO,MONDO:0014306,615688,Apr 19 2022
51816,ADA2,,C0282492,Sneddon syndrome,MONDO,MONDO:0008436,182410,Jul  9 2021
102,ADAM10,,C3810041,Alzheimer disease 18,MONDO,MONDO:0014265,615590,Feb 16 2016
102,ADAM10,,C0406811,Reticulate acropigmentation of Kitamura,MONDO,MONDO:0014234,615537,Feb 16 2016
6868,ADAM17,,C3280501,"Inflammatory skin and bowel disease, neonatal, 1",MONDO,MONDO:0013693,614328,Apr 19 2022
53616,ADAM22,,C4693688,"Developmental and epileptic encephalopathy, 61",MONDO,MONDO:0033370,617933,Apr 19 2022
8754,ADAM9,,C1423873,Cone-rod dystrophy 9,MONDO,MONDO:0013002,612775,Feb 16 2016
81794,ADAMTS10,,C4552002,Weill-Marchesani syndrome 1,MONDO,MONDO:0010194,277600,Feb 16 2016
11093,ADAMTS13,,C1268935,Upshaw-Schulman syndrome,,,274150,Feb 16 2016
170689,ADAMTS15,,CN375615,"ARTHROGRYPOSIS, DISTAL, TYPE 12",OMIM,620545,620545,Oct 21 2023
170691,ADAMTS17,,C2750787,"Weill-Marchesani 4 syndrome, recessive",MONDO,MONDO:0013176,613195,Apr 19 2022
170692,ADAMTS18,,C3809567,Microcornea-myopic chorioretinal atrophy,MONDO,MONDO:0014195,615458,Apr 19 2022
171019,ADAMTS19,,C5774226,Cardiac valvular dysplasia 2,MONDO,MONDO:0859572,620067,Oct 12 2022
9509,ADAMTS2,,C2700425,"Ehlers-Danlos syndrome, dermatosparaxis type",MONDO,MONDO:0009161,225410,Apr 19 2022
9508,ADAMTS3,,C4748408,Hennekam lymphangiectasia-lymphedema syndrome 3,MONDO,MONDO:0032564,618154,Jan 22 2021
9719,ADAMTSL2,,C3278147,Geleophysic dysplasia 1,MONDO,MONDO:0009269,231050,Feb 16 2016
54507,ADAMTSL4,,C3541474,"Ectopia lentis 2, isolated, autosomal recessive",MONDO,MONDO:0009152,225100,Apr 22 2020
54507,ADAMTSL4,,C1644196,Ectopia lentis et pupillae,MONDO,MONDO:0009153,225200,Feb 16 2016
103,ADAR,,C0406775,Symmetrical dyschromatosis of extremities,,,127400,Feb 16 2016
103,ADAR,,C3539013,Aicardi-Goutieres syndrome 6,MONDO,MONDO:0014007,615010,Apr  8 2018
104,ADARB1,,C5394312,"Neurodevelopmental disorder with hypotonia, microcephaly, and seizures",MONDO,MONDO:0030025,618862,Jan 22 2021
113179,ADAT3,,C4750838,Intellectual disability-strabismus syndrome,MONDO,MONDO:0014119,615286,Mar 29 2022
107,ADCY1,,C1857809,Autosomal recessive nonsyndromic hearing loss 44,MONDO,MONDO:0012421,610154,Apr 19 2022
55811,ADCY10,,C0342639,Familial idiopathic hypercalciuria,,,143870,Feb 16 2016
109,ADCY3,,C4693522,BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19,OMIM,617885,617885,Mar  1 2018
111,ADCY5,,C5551343,"Dyskinesia with orofacial involvement, autosomal dominant",MONDO,MONDO:0800028,606703,Jun  1 2022
111,ADCY5,,C5562036,"Dyskinesia with orofacial involvement, autosomal recessive",MONDO,MONDO:0030625,619647,Jun  1 2022
111,ADCY5,,C5562038,Neurodevelopmental disorder with hyperkinetic movements and dyskinesia,MONDO,MONDO:0859211,619651,Apr 10 2023
112,ADCY6,,C4225385,Lethal congenital contracture syndrome 8,MONDO,MONDO:0014570,616287,Feb 16 2016
118,ADD1,,CN305331,"Essential hypertension, genetic",MONDO,MONDO:0007781,145500,Dec 27 2021
120,ADD3,,C4310767,"Cerebral palsy, spastic quadriplegic, 3",MONDO,MONDO:0014862,617008,Jul  3 2016
30817,ADGRE2,,C0157743,Vibratory urticaria,MONDO,MONDO:0006618,125630,Aug 24 2016
9289,ADGRG1,,C1847352,Bilateral frontoparietal polymicrogyria,MONDO,MONDO:0011738,606854,Apr 19 2022
9289,ADGRG1,,C3810405,"Polymicrogyria, bilateral perisylvian, autosomal recessive",MONDO,MONDO:0014333,615752,Feb 16 2016
10149,ADGRG2,,C4310815,"Vas deferens, congenital bilateral aplasia of, X-linked",MONDO,MONDO:0010511,300985,Jun 20 2017
57211,ADGRG6,,C4225303,Lethal congenital contracture syndrome 9,MONDO,MONDO:0014670,616503,Mar 19 2016
22859,ADGRL1,,C5774224,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",MONDO,MONDO:0859292,620065,Oct 12 2022
84059,ADGRV1,,C2931213,Usher syndrome type 2C,MONDO,MONDO:0011558,605472,Apr 19 2022
84059,ADGRV1,,C1858493,"Febrile seizures, familial, 4",MONDO,MONDO:0011443,604352,Feb 16 2016
125,ADH1B,,C0001973,Alcohol dependence,MONDO,MONDO:0007079,103780,Jul  6 2018
126,ADH1C,,C3160718,"Parkinson disease, late-onset",,,168600,Feb 16 2016
126,ADH1C,,C0001973,Alcohol dependence,MONDO,MONDO:0007079,103780,Jul  6 2018
128,ADH5,,C5436906,"AMED syndrome, digenic",MONDO,MONDO:0030894,619151,Jun  7 2021
9370,ADIPOQ,,C2675517,Adiponectin deficiency,NCBI curation,,612556,May 15 2023
132,ADK,,C4706555,Adenosine kinase deficiency,MONDO,MONDO:0100255,614300,Apr  6 2021
23394,ADNP,,C4014538,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,MONDO,MONDO:0014379,615873,Apr 19 2022
54936,ADPRS,,C4748527,"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures",MONDO,MONDO:0100095,618170,Jan 22 2021
153,ADRB1,,C5231420,"SHORT SLEEP, FAMILIAL NATURAL, 2",OMIM,618591,618591,Sep 27 2019
153,ADRB1,,C1821417,Resting heart rate,,,607276,Feb 16 2016
155,ADRB3,,C4054476,Inherited obesity,MONDO,MONDO:0019182,601665,Jan 13 2023
158,ADSL,,C0268126,Adenylosuccinate lyase deficiency,MONDO,MONDO:0007068,103050,Feb 16 2016
122622,ADSS1,,C5567521,"Myopathy, distal, 5",MONDO,MONDO:0014877,617030,Aug 24 2016
165,AEBP1,,C4693870,"Ehlers-Danlos syndrome, classic-like, 2",MONDO,MONDO:0054813,618000,Sep  2 2021
2334,AFF2,,C0751157,FRAXE,,,309548,Feb 16 2016
3899,AFF3,,C5543317,KINSSHIP syndrome,MONDO,MONDO:0851095,619297,Apr 10 2023
27125,AFF4,,C4085597,Cognitive impairment - coarse facies - heart defects - obesity - pulmonary involvement - short stature - skeletal dysplasia syndrome,MONDO,MONDO:0014609,616368,Apr 19 2022
166378,AFG2A,,C4225276,Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome,MONDO,MONDO:0014698,616577,Mar 29 2022
79029,AFG2B,,C5562023,"Hearing loss, autosomal recessive 119",MONDO,MONDO:0030480,619615,Apr 19 2022
79029,AFG2B,,C5562024,Neurodevelopmental disorder with hearing loss and spasticity,MONDO,MONDO:0859206,619616,Apr 10 2023
10939,AFG3L2,,C3280977,Spastic ataxia 5,MONDO,MONDO:0013776,614487,Apr 19 2022
10939,AFG3L2,,C5436534,Optic atrophy 12,MONDO,MONDO:0033549,618977,Jan 22 2021
10939,AFG3L2,,C1853249,Spinocerebellar ataxia type 28,MONDO,MONDO:0012450,610246,Apr 22 2020
174,AFP,,C1863081,Alpha-fetoprotein deficiency,NCBI curation,,615969,Dec 27 2022
174,AFP,,C1863080,"Alpha-fetoprotein, hereditary persistence of",NCBI curation,,615970,Dec 27 2022
175,AGA,,C0268225,Aspartylglucosaminuria,Human Phenotype Ontology,HP:0012068,208400,Mar 19 2018
175,AGA,,C0268225,Aspartylglucosaminuria,MONDO,MONDO:0008830,208400,Mar 19 2018
123624,AGBL1,,C3809798,"Corneal dystrophy, Fuchs endothelial, 8",MONDO,MONDO:0014228,615523,Feb 16 2016
60509,AGBL5,,C4310759,Retinitis pigmentosa 75,MONDO,MONDO:0014871,617023,Aug 24 2016
55750,AGK,,C1859317,Sengers syndrome,MONDO,MONDO:0008922,212350,Feb 28 2019
55750,AGK,,C3553494,Cataract 38,MONDO,MONDO:0013859,614691,Apr 19 2022
178,AGL,,C0017922,Glycogen storage disease type III,,,232400,Feb 16 2016
26523,AGO1,,CN323721,"Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures",MONDO,MONDO:0859531,620292,Mar 29 2023
27161,AGO2,,C5436892,Lessel-Kreienkamp syndrome,MONDO,MONDO:0030897,619149,Jun  7 2021
10555,AGPAT2,,C1720862,Congenital generalized lipodystrophy type 1,MONDO,MONDO:0012071,608594,Feb 16 2016
8540,AGPS,,C1838612,Rhizomelic chondrodysplasia punctata type 3,MONDO,MONDO:0010823,600121,Feb 16 2016
10551,AGR2,,C5774306,"Respiratory infections, recurrent, and failure to thrive with or without diarrhea",MONDO,MONDO:0859370,620233,Feb  8 2023
375790,AGRN,,C3808739,Congenital myasthenic syndrome 8,MONDO,MONDO:0014052,615120,Apr 19 2022
181,AGRP,,C4054476,Inherited obesity,MONDO,MONDO:0019182,601665,Jan 13 2023
183,AGT,,CN305377,Renal tubular dysgenesis of genetic origin,MONDO,MONDO:0009970,267430,Dec 29 2021
183,AGT,,CN305331,"Essential hypertension, genetic",MONDO,MONDO:0007781,145500,Dec 27 2021
23287,AGTPBP1,,C4748934,"Neurodegeneration, childhood-onset, with cerebellar atrophy",MONDO,MONDO:0032650,618276,Jan 22 2021
185,AGTR1,,CN305377,Renal tubular dysgenesis of genetic origin,MONDO,MONDO:0009970,267430,Dec 29 2021
185,AGTR1,,CN305331,"Essential hypertension, genetic",MONDO,MONDO:0007781,145500,Dec 27 2021
189,AGXT,,C0268164,"Primary hyperoxaluria, type I",,,259900,Feb 16 2016
64902,AGXT2,,C1859518,"Beta-aminoisobutyric acid, urinary excretion of",MONDO,MONDO:0008860,210100,Apr 19 2022
191,AHCY,,C3151058,Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,MONDO,MONDO:0013404,613752,Apr 19 2022
27245,AHDC1,,C4014419,AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome,MONDO,MONDO:0014358,615829,Apr 19 2022
54806,AHI1,,C1837713,Joubert syndrome 3,MONDO,MONDO:0012078,608629,Feb 16 2016
196,AHR,,C5193041,Retinitis pigmentosa 85,MONDO,MONDO:0032689,618345,Mar  8 2019
197,AHSG,,C1859878,Alopecia-intellectual disability syndrome 1,MONDO,MONDO:0021035,203650,Apr 17 2020
57379,AICDA,,C1720956,Hyper-IgM syndrome type 2,MONDO,MONDO:0011528,605258,Apr 22 2020
9131,AIFM1,,C1845095,"Deafness, X-linked 5",NCBI curation,,300614,Jul 25 2023
9131,AIFM1,,C0795910,Charcot-Marie-Tooth disease X-linked recessive 4,MONDO,MONDO:0010689,310490,Apr 19 2022
9131,AIFM1,,C1846148,"Spondyloepimetaphyseal dysplasia, Bieganski type",MONDO,MONDO:0010275,300232,Apr 19 2022
9131,AIFM1,,C3151753,Severe X-linked mitochondrial encephalomyopathy,MONDO,MONDO:0010437,300816,Apr 19 2022
